tissue,day,color,mean,l95,u95,n
brain,0.0,#CCCF00,0.02489877110590413,0.015852700914899133,0.033944841296909126,8
brain,2.0,#CCCF00,0.040257424105040476,0.033286686543827194,0.04722816166625376,7
brain,4.0,#CCCF00,0.10644230073539743,0.09476770662737291,0.11811689484342194,8
brain,6.0,#CCCF00,0.16262596266938908,0.14659960134950986,0.1786523239892683,8
brain,8.0,#CCCF00,0.20469732764744422,0.18342951132966892,0.22596514396521952,8
colon,0.0,#EEBB77,0.09878969218989582,0.08761626739870194,0.1099631169810897,8
colon,2.0,#EEBB77,0.17842298967067577,0.14545093083047103,0.2113950485108805,8
colon,4.0,#EEBB77,0.32450819167313577,0.2712474617491449,0.37776892159712666,8
colon,6.0,#EEBB77,0.4188423129820908,0.3879537916250059,0.4497308343391757,8
colon,8.0,#EEBB77,0.49282600776515817,0.4379535761509744,0.5476984393793419,8
