animal	day	tissue	light	heavy	total	prop_labeled
1	0	brain	5.210546497815966	0.111117055611719	5.321663553427685	0.0
2	0	brain	6.614700357773036	0.111117055611719	6.725817413384755	0.0
3	0	brain	7.5456348473504145	0.111117055611719	7.656751902962133	0.0
4	0	brain	5.626566506901083	0.3341705742	5.960737081101083	0.03146030812960255
5	0	brain	5.284024623316821	0.111117055611719	5.39514167892854	0.0
6	0	brain	4.926666768309844	0.111117055611719	5.037783823921563	0.0
7	0	brain	4.405534047106735	0.111117055611719	4.516651102718454	0.0
8	0	brain	4.526360944386229	0.111117055611719	4.637477999997948	0.0
9	2	brain	3.77105112215347	0.212914817172	3.98396593932547	0.02884128419025353
11	2	brain	3.6845369593481436	0.184170454104	3.8687074134521438	0.02300351792926742
12	2	brain	4.099553755216338	0.132485007192	4.2320387624083375	0.006703597361332726
13	2	brain	5.142339377014328	0.17573846863200002	5.318077845646328	0.00844383940508868
14	2	brain	4.303258814170821	0.217009767348	4.520268581518821	0.023406510894670357
15	2	brain	3.6109882782013587	0.111117055611719	3.7221053338130776	0.005251633874265044
16	2	brain	3.0687177346507384	0.123014809908	3.1917325445587386	0.013940056761584621
17	4	brain	3.0972419321056215	0.43797176913600006	3.5352137012416214	0.09928669653244157
18	4	brain	3.8450403343234405	0.385118717748	4.230159052071441	0.06643954398572802
19	4	brain	2.892649082400634	0.27100694527200003	3.163656027672634	0.06106093553405243
20	4	brain	3.464821831158346	0.4163671173120001	3.881188948470346	0.08267659253373416
21	4	brain	2.9002790137036176	0.442440992424	3.3427200061276174	0.10775792602383555
22	4	brain	3.1204064672710614	0.35665313124000003	3.4770595985110613	0.0779715535660997
23	4	brain	2.626576499386273	0.26538630904800004	2.891962808434273	0.06716520026215497
24	4	brain	3.891877957380933	0.515527265436	4.407405222816933	0.09236678222362335
25	6	brain	3.0559066467145346	0.715865232912	3.7717718796265345	0.16519382741504285
26	6	brain	3.1734914512733177	0.5191094503920001	3.6926009016653176	0.11597933225427573
27	6	brain	3.0309015025285344	0.6117300608640001	3.6426315633925346	0.14333465140750062
28	6	brain	3.0589464965127338	0.56653062858	3.6254771250927336	0.1316620968840023
29	6	brain	3.872662171357632	0.890891008824	4.763553180181632	0.16242072382059367
30	6	brain	3.9948724757976204	0.7811360070240001	4.77600848282162	0.13895250293469022
31	6	brain	2.9730317413338025	0.41022366588	3.3832554072138024	0.09664951994842103
32	6	brain	3.2282281178458825	0.682896038484	3.9111241563298824	0.15000187146907668
33	8	brain	3.5282930760639792	1.076645492616	4.604938568679979	0.20920071040533159
34	8	brain	2.163509872145844	0.408114457872	2.571624330017844	0.13409744965982054
35	8	brain	2.7432212667735434	0.51363621252	3.2568574792935436	0.1331074993481367
36	8	brain	2.9249174764674555	0.7218578597280001	3.6467753361954554	0.17334250736514384
37	8	brain	2.8355507896451715	0.78212492772	3.6176757173651715	0.19159377491627905
38	8	brain	3.597624417541828	1.0177583534160002	4.615382770957828	0.19591275112735493
39	8	brain	3.107841035676569	0.937155177072	4.044996212748569	0.20708093764915303
40	8	brain	3.1020735526303755	0.880209945168	3.9822834977983756	0.1964298154868243
1	0	colon	1.0896525951877756	0.111117055611719	1.2007696507994945	0.0
2	0	colon	0.9928049788612867	0.111117055611719	1.1039220344730056	0.0
3	0	colon	0.7236503305628175	0.111117055611719	0.8347673861745365	0.0
4	0	colon	1.0592541854072277	0.111117055611719	1.1703712410189466	0.0
5	0	colon	1.169885224541058	0.111117055611719	1.281002280152777	0.0
6	0	colon	0.9863996777486099	0.111117055611719	1.0975167333603288	0.0
7	0	colon	1.307141662596769	0.111117055611719	1.4182587182084878	0.0
8	0	colon	0.9704641907486183	0.111117055611719	1.0815812463603374	0.0
9	2	colon	0.6186018044150845	0.11863223396713912	0.7372340383822236	0.027803896427309793
10	2	colon	0.669658527513825	0.15465547265200447	0.8243140001658296	0.0545057852707293
11	2	colon	0.5238945760907961	0.111117055611719	0.6350116317025152	0.04187288365680328
12	2	colon	0.605633940919343	0.23013041423534944	0.8357643551546924	0.142241829235139
13	2	colon	0.8631645466663666	0.111117055611719	0.9742816022780856	0.0
14	2	colon	0.6792085180231808	0.11841559125956236	0.7976241092827432	0.015348995974795748
15	2	colon	0.6325655325850441	0.12140340796756462	0.7539689405526088	0.02790771005875342
16	2	colon	0.4417929082042385	0.11391037687347978	0.5557032850777183	0.07187277019180191
17	4	colon	0.5920000410368409	0.21295654430329655	0.8049565853401375	0.13144515873101603
18	4	colon	0.6386794547185045	0.17073166324755526	0.8094111179660598	0.07782178253135308
19	4	colon	0.7070197497259306	0.46360116137471546	1.170620911100646	0.262918738150603
20	4	colon	0.4103659350918399	0.3341904775453709	0.7445564126372108	0.31573367302230476
21	4	colon	0.8370822057257801	0.48226808992530423	1.3193502956510843	0.23242312957586592
22	4	colon	0.4770590049363209	0.21726730159931293	0.6943263065356339	0.17980674730055185
23	4	colon	0.2335804365831853	0.111117055611719	0.3446974921949043	0.18924967909163215
24	4	colon	0.6366864303697993	0.2413646809599204	0.8780511113297197	0.14177542341307542
25	6	colon	0.5080308757914918	0.3241147300276242	0.8321456058191159	0.2563814094289613
26	6	colon	0.44733981297853453	0.3257177236334303	0.7730575366119649	0.28822557435943696
27	6	colon	0.6161683935128627	0.45784034091339165	1.0740087344262543	0.293179677555693
28	6	colon	0.6116462001574428	0.5440781603571946	1.1557243605146374	0.3376566989680782
29	6	colon	0.4074393187984299	0.203576234350473	0.6110155531489029	0.20006544497803724
30	6	colon	0.6976317251300894	0.6261328999067958	1.323764625036885	0.33988273189091545
31	6	colon	0.741833162657009	0.5270299857549862	1.2688631484119952	0.2822446501506942
32	6	colon	0.30912605507558616	0.22506797038740545	0.5341940254629916	0.2882111149562258
33	8	colon	0.60411869831557	0.5292790337625118	1.1333977320780817	0.3338729767640485
34	8	colon	0.253892390674743	0.14558292971192358	0.39947532038666655	0.23132395358499064
