Supplementary Table S6: gene expression profile (FPKM) of mouse across 17 tissues																																																																						
gene_id	gene_short_name	gene_type	mAg_F_815	mAg_F_831	mAg_M_783	mAg_M_799	mBr_F_812	mBr_F_828	mBr_F_848	mBr_F_850	mBr_M_780	mBr_M_796	mBr_M_844	mBr_M_846	mFs_F_823	mFs_F_839	mFs_M_791	mFs_M_807	mHe_F_818	mHe_F_834	mHe_M_786	mHe_M_802	mKi_F_814	mKi_F_830	mKi_M_782	mKi_M_798	mLi_F_813	mLi_F_829	mLi_F_849	mLi_F_851	mLi_M_781	mLi_M_797	mLi_M_845	mLi_M_847	mLin_F_825	mLin_F_841	mLin_M_793	mLin_M_809	mLu_F_817	mLu_F_833	mLu_M_785	mLu_M_801	mMu_F_826	mMu_F_842	mMu_M_794	mMu_M_810	mOv_F_820	mOv_F_836	mSin_F_824	mSin_F_840	mSin_M_792	mSin_M_808	mSp_F_816	mSp_F_832	mSp_M_784	mSp_M_800	mSt_F_822	mSt_F_838	mSt_M_790	mSt_M_806	mTe_M_788	mTe_M_804	mTh_F_819	mTh_F_835	mTh_M_787	mTh_M_803	mUt_F_827	mUt_F_843	mVg_M_795	mVg_M_811
ENSMUSG00000000001	Gnai3	protein_coding	123.447	106.095	111.374	108.22	15.7951	13.0048	16.0819	13.8456	15.4527	15.0305	17.8929	15.3166	122.527	60.6065	89.3665	99.5913	14.1676	12.1846	16.2012	18.2998	42.1982	46.2463	39.8847	40.8087	46.2173	44.5105	46.845	46.9194	37.124	44.9972	34.1637	43.8156	51.8841	67.6739	71.1312	71.0051	55.8406	52.2556	56.6969	58.4359	20.4299	10.987	21.6566	12.5416	70.4807	72.9662	103.596	95.5284	106.002	125.936	57.8225	65.9113	57.6335	51.6413	49.5641	39.4455	48.0672	35.9602	31.6262	35.2568	103.231	104.895	103.924	110.699	72.6195	87.1455	18.9859	37.0417
ENSMUSG00000000003	Pbsn	protein_coding	1.067	0	0.2046	0.6651	0.2434	0	0	0	0.6797	0.2304	0	0	0	0	0.4152	0.5433	0	0	0.5111	4.187	0.2215	0	0.2313	0.4632	0.2092	0	0	0	0.2029	0.3389	0	0	0	0	0.5239	0.7218	0	0	0.2605	0.166	0	0	0.3737	0.2349	0	0	0	0	0.2614	0.5154	0	0	0.2921	0.7502	0	0	0.268	0.5044	0.707	0.8151	0	0	0.1693	0.4137	0	0	3869.52	2742.88
ENSMUSG00000000028	Cdc45	protein_coding	4.0258	4.5012	3.3602	3.7376	0.9005	0.513	1.6266	0.7907	0.56	0.8094	0.9193	0.7036	2.23	2.331	2.0429	2.9281	1.8849	1.335	1.5044	1.3948	1.004	1.3866	1.2334	1.2825	0.8692	0.5423	0.5365	0.7076	0.5891	1.0205	0.8315	0.684	4.7174	4.4136	4.1504	3.8981	2.0061	1.8186	3.0211	3.0525	2.0358	1.1939	1.7733	1.6183	6.8214	7.1763	7.1288	8.3665	5.8834	5.8833	9.0155	7.9133	12.9603	25.0591	2.1745	1.3227	1.7765	2.0513	22.9724	24.9343	29.6485	31.8472	26.205	31.3578	4.5323	13.7287	0.6882	2.1766
ENSMUSG00000000031	H19	lincRNA	2.152	1.908	1.3104	1.6922	0.6732	0.6226	0.7739	1.1149	0.585	0.4188	1.1137	1.4447	32.3589	12.7275	15.1163	30.1414	7.5082	14.4734	50.4461	41.1906	0.6768	0.53	0.293	0.8723	0.5749	0.3994	1.2414	0.4122	0.6219	1.8232	0.7463	2.759	0.5692	1.1633	0.4881	0.7652	0.842	0.8617	1.4906	1.0829	785.823	1444.44	798.63	1412.88	9.0142	10.4875	0.3542	1.3789	0.7346	0.5591	0.1877	0.1587	1.3151	0.2037	4.7602	1.8131	1.1094	1.2216	1.3826	1.3498	7.4242	7.9306	5.2036	6.1499	2.9863	21.2063	2.4705	5.0896
ENSMUSG00000000037	Scml2	protein_coding	0.1555	0.2657	0.2887	0.4999	0.4009	0.7028	0.8621	0.6141	0.3384	0.4519	0.3367	0.2332	1.264	0.3199	0.8691	1.304	1.5944	0.1074	0.2584	0.4425	0.1094	0.3858	0.1077	0.296	0.0267	0.0313	0	0	0.0794	0.0573	0.0341	0.0742	0.3206	0.869	1.0371	0.9641	0.9908	0.2828	0.2342	0.8351	0.3241	0.2789	0.1227	0.3057	2.9268	2.0785	0.1622	0.271	0.2847	0.0445	0.2135	0.3638	0.2833	0.705	0.2753	0.1449	0.2939	0.5298	19.0269	21.2461	0.32	0.8599	0.5436	0.3899	1.9175	1.5992	0.5538	1.3114
ENSMUSG00000000049	Apoh	protein_coding	0.1494	161.859	8.2932	6.0044	30.1606	1.163	3.3222	2.3514	0.5269	1.1378	1.7324	2.1822	0.262	1.6531	1.1014	0.1091	0	1.378	0.4227	0.6135	0	1.3581	3.4071	0.4928	1648.57	1465.21	1707.03	1620.17	1589.34	1592.35	1532.1	1727.32	0.8237	3.7804	0.7991	0.475	0.8059	0.7554	1.1478	0.2876	0.5347	3.52	0.9964	1.3231	0.254	1.9824	0.6982	3.5501	1.3246	0.916	0.1181	0.4494	0.562	0.3437	0.1082	3.7736	0.9033	0.2733	37.723	35.5432	0.7436	4.4069	0.9408	0.5537	0.1215	2.0597	0.6968	0.224
ENSMUSG00000000056	Narf	protein_coding	7.592	8.4107	7.5563	4.9376	14.8184	14.5695	15.0955	18.6292	13.795	14.2869	12.9676	16.0513	12.8602	13.3029	12.3511	14.2546	27.8834	35.1292	28.7086	32.0761	13.5035	14.4173	11.3391	15.874	12.3995	14.1002	12.4587	14.1859	12.3238	21.7333	11.5502	17.2839	13.0607	18.1763	16.5056	25.7625	10.8198	8.1908	8.8238	10.9858	44.1938	46.6188	32.0623	45.1019	10.6703	11.9045	12.8914	13.9757	11.7041	13.971	15.6545	14.9643	20.9915	44.9921	15.1631	13.3737	20.1818	9.496	3.3612	4.9675	37.7581	33.5246	42.2871	40.189	16.3934	4.6889	6.6804	7.7112
ENSMUSG00000000058	Cav2	protein_coding	29.7721	32.5117	42.3599	58.161	28.7054	23.3907	28.8417	28.8043	20.8159	18.0428	19.1622	26.8043	26.0295	24.741	28.1676	26.9999	62.9891	57.0529	60.4973	59.0119	30.4778	37.2585	27.1881	29.6867	4.0025	4.3695	4.9602	3.2828	3.3527	2.6596	2.8343	1.9249	11.7061	17.8946	17.924	22.161	317.616	342.364	370.806	361.161	48.7051	37.744	91.3445	40.4053	40.0894	32.9113	4.1966	6.5372	3.9053	3.7542	13.2595	15.4279	10.8848	8.8071	22.2288	16.2801	16.0416	13.2441	2.3017	3.4576	3.9191	4.4015	4.0547	3.6081	30.1345	31.6041	24.9589	39.5892
ENSMUSG00000000078	Klf6	protein_coding	15.9422	14.9764	14.4235	18.1384	12.5968	13.2972	13.5876	15.5251	12.8418	9.9449	10.5776	13.6151	46.3105	30.9384	34.561	36.8172	19.1228	20.4358	23.626	25.2893	10.7826	10.5308	9.152	10.0027	3.1913	2.5302	2.9526	2.4328	1.5108	1.9497	1.7173	2.1526	45.6793	63.299	86.0013	63.9521	50.3914	58.005	51.2479	42.9818	20.082	11.3731	20.2936	14.977	23.5266	33.1001	55.0209	54.7575	61.7121	61.9806	27.8215	32.0312	26.4508	20.0465	25.8268	21.0757	29.5924	16.6249	3.8387	5.8378	26.0364	26.7855	25.2503	25.5048	24.3226	24.5044	9.2979	12.9648
ENSMUSG00000000085	Scmh1	protein_coding	9.8939	11.7349	8.152	8.1099	19.8408	18.3752	21.3037	23.9172	17.8287	23.6569	29.1724	23.9328	26.3814	22.0751	17.806	29.7693	12.1138	11.4645	12.9519	12.9609	8.2494	8.7458	8.9679	8.5093	3.1639	2.1908	3.0298	3.1132	2.049	2.6968	1.7996	3.7911	10.4134	17.543	15.4801	12.7437	19.8956	18.3839	15.2424	15.1784	8.3751	16.005	12.4444	17.3041	33.6077	21.9561	6.8311	9.9924	5.575	3.8274	7.8706	9.8394	11.1968	9.1567	15.278	16.0875	17.0532	15.294	42.9245	33.7671	20.9312	19.3107	19.4032	15.6432	32.752	29.1271	18.5026	14.4811
ENSMUSG00000000088	Cox5a	protein_coding	142.437	140.082	130.504	147.25	191.557	157.341	173.509	159.692	185.935	166.31	183.422	173.518	119.107	266.723	228.304	163.179	815.356	877.451	746.368	704.032	391.356	385.853	370.354	392.313	184.056	198.783	193.328	177.846	186.152	201.272	199.077	211.259	296.647	367.247	399.232	372.333	69.4466	80.5898	64.9894	75.3184	619.971	680.177	528.549	735.665	110.752	97.9863	330.88	337.073	419.39	429.92	127.423	114.415	138.762	131.895	397.912	344.218	448.969	361.736	218.684	224.657	135.802	149.826	149.137	139.069	196.987	143.91	49.966	59.6345
ENSMUSG00000000093	Tbx2	protein_coding	6.2877	7.1556	6.8202	7.3292	0.233	0.4543	0.2987	0.2744	0.4962	0.7902	0.7212	0.3486	13.6031	6.2212	7.7029	10.3411	1.1961	1.7877	1.8788	1.984	16.5521	14.3161	14.9847	17.6099	0.7664	0.6864	0.5822	0.5456	0.4566	0.4634	0.5955	0.6905	0.7455	2.883	1.995	2.0011	46.9613	61.2338	30.1574	42.3365	0.7714	0.6664	1.5419	1.7302	28.221	15.8628	1.4307	1.7736	2.2191	0.8488	1.5829	1.4054	1.1231	1.0978	2.7284	2.0814	1.3234	2.85	1.259	1.7643	0.4164	0.0654	0.4427	0.3343	1.0136	3.2003	31.2805	37.178
ENSMUSG00000000094	Tbx4	protein_coding	0.1221	0.1341	0	0.0484	0.348	0.0567	0	0	0.051	0.0964	0.1528	0.0909	0.3558	0.8146	0.6484	0.5715	0	0.0395	0.1001	0.1305	0.0532	0	0	0.0481	0.0483	0.0431	0	0	0	0.0464	0.0917	0	0	0.0994	0.0784	0.0799	15.6342	24.8756	9.8004	13.0092	0.7852	0.6509	0.3732	0.8241	0.9202	0.4011	0	0.1095	0.0802	0.159	0.0472	0.0448	0	0	0.4434	0.5757	0.3047	0.4523	0.3215	0.5818	0.0492	0.0684	0	0	0.3438	0.127	0.1479	0.0887
ENSMUSG00000000103	Zfy2	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0743	3.6448	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	protein_coding	0.8735	0.9622	1.6528	1.4362	0.1938	0.3317	0.3664	0.3494	0.4582	1.922	2.009	0.3668	1.6955	1.4825	1.1123	1.5681	0.1067	0.1841	0.2219	0.4031	0.6112	0.2622	0.3344	0.3374	0.7253	0.7709	0.6247	0.7227	0.5297	1.0174	0.6415	1.0437	1.2219	1.771	1.8948	1.3906	0.388	0.2735	0.1667	0.1264	0.5818	0.2751	0.2503	0.1972	5.7368	3.4455	0.7762	0.865	0.7887	0.2612	2.1928	2.4203	1.8294	1.5465	0.7409	0.7832	0.9085	0.5681	3.8244	3.9682	0.685	0.4534	0.6512	0.5455	86.8197	58.1722	0.2517	0.5088
ENSMUSG00000000125	Wnt3	protein_coding	0	0	0	0	1.0182	0.8966	0.8082	0.4223	3.145	0.8404	1.0035	0.8973	0	0.0606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0394	0.0419	0	0.038	0	0.0483	0.0376	0.0383	0	0	0.0393	0	0	0	0.043	0.0384	0	0	3.5976	2.6555	1.0507	0.4649	0.0925	0	0.1285	0	0.0424	0	0	0	7.9242	6.8621	0.1926	0	0	0.0864	0	0	0	0
ENSMUSG00000000126	Wnt9a	protein_coding	0.5848	0.5514	0.7482	0.5296	2.3995	2.6093	3.1636	3.5725	3.4878	1.9892	3.0945	3.7854	2.8231	2.2615	1.7253	3.1295	1.7153	1.5594	1.9193	2.4905	0.5509	0.3582	0.3835	0.5124	0.1319	0.0769	0.2405	0.0362	0.0745	0.0394	0	0.1069	0.4404	1.0272	0.471	0.4821	3.7695	4.2507	3.1269	3.0071	3.5963	4.0485	2.8053	4.1973	3.3367	1.8939	0.5898	0.3102	0.2256	0.0375	0.1813	0.2585	0.2076	0.1694	1.4908	1.467	0.8582	1.646	0.4073	0.3126	0.5199	0.7244	0.3052	0.2542	4.4941	18.5778	0.7449	1.164
ENSMUSG00000000127	Fer	protein_coding	6.7382	7.119	7.6734	6.6227	5.6668	5.6959	6.2281	6.2457	6.5382	5.336	5.1236	7.3281	17.369	10.1524	13.7698	16.7873	4.3785	4.6557	4.7138	5.7172	2.5005	2.4177	2.6244	2.2604	1.9513	2.2001	2.4102	2.8581	2.4458	2.5054	2.369	2.1461	4.5728	6.1454	6.9157	6.143	7.1991	8.2905	8.0555	9.4584	5.2937	3.3901	3.0832	3.2844	9.972	9.0369	3.8712	4.0619	3.4792	4.3248	2.8216	4.2476	2.8917	2.8679	7.0959	6.1628	6.8211	5.589	15.4848	15.418	1.9108	0.977	1.5205	1.7683	11.8847	10.2114	2.555	4.1201
ENSMUSG00000000131	Xpo6	protein_coding	26.8509	22.8738	21.0085	21.6189	24.1877	17.4299	20.5101	21.6339	24.4552	19.4143	21.0735	18.1719	16.2462	15.6475	15.5379	18.8747	14.825	13.0718	12.5805	13.0968	10.371	10.4826	16.5471	12.4491	5.9034	6.148	8.3598	8.1472	6.0382	5.384	7.2173	6.4263	9.772	12.5866	12.2943	12.6007	19.1722	19.081	11.7292	10.1701	14.6287	14.2337	17.287	15.0297	25.3174	26.6052	13.0765	14.0354	11.4006	13.7774	36.6386	34.059	33.4891	31.6169	12.4249	14.2876	15.7981	16.0119	73.1038	66.4026	38.8693	40.8269	42.2506	40.8535	16.1484	22.9508	16.6773	15.1195
ENSMUSG00000000134	Tfe3	protein_coding	12.6891	16.3769	10.4725	19.556	11.3867	11.3304	8.7242	10.0395	8.0599	7.8258	11.5664	7.2159	17.3852	8.6866	12.1949	16.2267	4.9958	7.9824	5.0608	7.8336	6.7435	6.4965	10.7642	7.3925	8.1758	6.0295	6.2401	6.7416	5.3373	7.0361	5.6366	7.121	4.3854	7.3845	7.7534	8.5316	11.3383	12.413	9.5785	7.9338	5.1868	3.7769	3.7741	5.9565	15.7153	16.7946	9.0208	9.8077	11.444	8.7213	13.6687	20.808	16.4969	13.7447	7.9913	6.1616	6.0885	7.4722	11.4225	12.3146	10.2389	7.296	10.4223	6.9624	17.2197	15.3785	4.6479	6.3283
ENSMUSG00000000142	Axin2	protein_coding	10.1006	8.9747	8.4746	11.7445	6.5663	5.783	6.2993	6.3374	7.2513	5.4875	6.3518	6.2052	6.6537	3.5868	5.0709	6.3385	0.652	0.9475	1.4085	1.4597	0.5219	0.3842	0.6512	0.9018	1.6491	1.6414	1.9934	1.7003	0.9321	1.2865	1.1017	0.4594	4.3527	6.5667	5.8577	5.7856	9.3882	8.1714	4.3342	4.9437	2.7905	1.8987	2.6342	2.8758	10.1956	7.3553	16.5399	14.3551	11.6928	12.025	4.7464	3.4966	2.9728	2.3343	0.6657	2.716	0.9193	1.9261	1.1907	1.0729	6.1242	7.018	6.7037	6.0142	15.4109	24.899	6.0088	8.9434
ENSMUSG00000000148	Brat1	protein_coding	8.2842	8.0244	5.8727	7.3098	6.2779	6.9618	6.2772	6.1611	5.4688	6.5837	6.5031	6.5812	4.8271	3.3155	4.2913	5.6178	2.2377	2.3846	2.8783	2.5583	4.2053	3.8335	5.0832	4.2217	2.8565	3.2481	2.383	2.6425	1.3865	2.2807	1.8667	2.7209	3.0288	4.4731	3.8043	3.9015	7.4425	5.8206	5.8099	5.0512	2.481	1.8495	3.261	2.2802	8.5602	10.1223	3.1444	3.4043	3.1545	3.0199	11.6547	10.2114	9.6653	9.0783	3.7697	2.5625	2.8781	2.518	11.8134	10.6534	12.3753	11.5338	12.4222	12.6525	6.5648	9.879	3.2276	4.134
