metatissue	n_tissues	color	median_median_tpm	x	y
brain	13	#CCCF00	232.6	1	32
nerve	1	#FBD84A	228.6	2	31
colon	2	#EEBB77	207.70000000000002	3	30
cervix	2	#CCAADD	205.75	4	29
uterus	1	#EB62F9	200.2	5	28
fibroblast	1	#AAEDFC	178.45	6	27
ovary	1	#F2A9FB	177.25	7	26
bladder	1	#AB2622	166.9	8	25
fallopian	1	#F8CCCC	157.9	9	24
artery	3	#EE524F	155.9	10	23
vagina	1	#ED5198	147	11	22
esophagus	3	#8B7355	140.3	12	21
pituitary	1	#A7F798	128.9	13	20
prostate	1	#DDDDDD	115.2	14	19
skin	2	#2046F6	111.1	15	18
lung	1	#95F443	110.15	16	17
breast	1	#58CCCC	96.38	17	16
thyroid	1	#2D6715	95.1	18	15
adipose	2	#F5AA41	87.85499999999999	19	14
testis	1	#AAAAAA	76.5	20	13
heart	2	#9D4EF7	71.64	21	12
salivary	1	#99BB88	70.01	22	11
intestine	1	#555522	55.82	23	10
spleen	1	#718357	52.05	24	9
adrenal	1	#68DE39	47.71	25	8
stomach	1	#FBDD99	39.28	26	7
muscle	1	#A3A3EE	37.14	27	6
kidney	2	#72F8C7	32.4725	28	5
liver	1	#9BAB65	23.78	29	4
pancreas	1	#9C612E	14.675	30	3
lymphocyte	1	#CA67F4	14.435	31	2
blood	1	#E148B4	12.13	32	1
