tissue_name	color	n	median_tpm	x	y
brain	#CCCF00	3	76.4495142917178	1	13
esophagus	#8B7355	3	15.7033971602498	2	12
colon	#EEBB77	3	11.3076581834204	3	11
heart	#9D4EF7	3	11.2990379407717	4	10
quadriceps	#A3A3EE	3	11.1139011384055	5	9
kidney	#72F8C7	3	10.5576058070189	6	8
stomach	#FBDD99	3	9.87440876399399	7	7
thymus	#2D6715	3	6.42255018781038	8	6
ileum	#555522	3	3.78223068212583	9	5
jejunum	#555522	3	2.65880669771121	10	4
duodenum	#555522	3	1.66064686066956	11	3
liver	#9BAB65	3	1.65141462803256	12	2
pancreas	#9C612E	3	0.324164443027009	13	1
