tissue	day	color	mean	l95	u95
brain	0	#CCCF00	0.003932538516200319	-0.0037750953433688863	0.011640172375769524
brain	2	#CCCF00	0.01565577720235177	0.008685039641138505	0.022626514763565034
brain	4	#CCCF00	0.08184065383270872	0.07016605972468423	0.09351524794073321
brain	6	#CCCF00	0.13802431576670038	0.12199795444682118	0.15405067708657957
brain	8	#CCCF00	0.1800956807447555	0.15882786442698024	0.20136349706253073
colon	0	#EEBB77	0	0	0
colon	2	#EEBB77	0.047694233851916554	0.01702464300596749	0.078363824697865625
colon	4	#EEBB77	0.19139679147705027	0.13813606155305946	0.24465752140104108
colon	6	#EEBB77	0.28573091278600526	0.2548423914289204	0.31661943414309013
colon	8	#EEBB77	0.35971460756907264	0.304842175954889	0.4145870391832563
