tx	dose_ug	day	rna_mean	rna_l95	rna_u95	prp_mean	prp_l95	prp_u95	pk_mean	pk_l95	pk_u95
PBS	0	1	1.0247916736726947	0.9643354039456474	1.0852479433997422	0.9342479613513468	0.8907185932523826	0.977777329450311			
PBS	0	28	1.0041275663225733	0.9667489814707326	1.041506151174414	1.0364254233249637	1.0167468359603329	1.0561040106895945			
PBS	0	42	0.9652969120056781	0.9228022150388573	1.007791608972499	1.0351919383884276	0.9950332603680845	1.0753506164087707			
ASO N	118	1	0.8378150071549283	0.7722005781731776	0.903429436136679	0.8779975410569962	0.8513062557565664	0.9046888263574261	3.0043947871166665	1.8525900232072587	4.1561995510260745
ASO N	118	3	0.7574494081711222	0.7298736082995677	0.7850252080426766	0.8212632997603517	0.7816238875926073	0.8609027119280962	2.7760457813333335	2.1283871781228174	3.4237043845438495
ASO N	118	7	0.6098507406369207	0.5628417693901321	0.6568597118837093	0.7414682257352054	0.7043173130310948	0.7786191384393161	2.8766509323333334	2.5035759999476097	3.249725864719057
ASO N	118	14	0.5241677582697499	0.47715774771564373	0.5711777688238561	0.6378634177006876	0.6168591463271583	0.6588676890742168	2.6571305423333333	2.3519782110286793	2.9622828736379874
ASO N	118	21	0.5400688077698436	0.48993117414665216	0.590206441393035	0.6345315577882044	0.6059594947943133	0.6631036207820954	1.9989502988333332	1.713939661787181	2.2839609358794855
ASO N	118	28	0.5319716320864626	0.4823535864743449	0.5815896776985803	0.7204849590274276	0.6962346545629483	0.7447352634919069	1.8622006018333335	1.4985079100049699	2.225893293661697
ASO N	118	42	0.56724857608667	0.5306306233461541	0.6038665288271859	0.6303564249963768	0.5843749334409742	0.6763379165517793	1.4152910416666666	1.2223376521297167	1.6082444312036166
