tissue	days	tx	color	mean	l95	u95
CSF	18	ASO 6	#39B7CD	0.588058891721716	0.5063932007686306	0.6697245826748014
CSF	18	PBS	#39B7CD	1	0.9623666179224013	1.0376333820775987
CSF	29	ASO 6	#39B7CD	0.49624049213075877	0.4572412527025316	0.535239731558986
CSF	29	PBS	#39B7CD	0.9999999999999999	0.9036550880158936	1.0963449119841062
CSF	57	ASO 6	#39B7CD	0.6029499736863029	0.529992128769051	0.6759078186035548
CSF	57	PBS	#39B7CD	1	0.8831313193857312	1.1168686806142687
cerebellum	18	ASO 6	#EE7600	0.6744961923353405	0.6339737033593976	0.7150186813112834
cerebellum	18	PBS	#EE7600	1	0.9848388767765681	1.0151611232234319
cerebellum	29	ASO 6	#EE7600	0.7295463132502108	0.6525554399008453	0.8065371865995763
cerebellum	29	PBS	#EE7600	1	0.97902296807897	1.02097703192103
cerebellum	57	ASO 6	#EE7600	0.8017651137341386	0.7232844824619471	0.8802457450063301
cerebellum	57	PBS	#EE7600	1	0.9096470503580826	1.0903529496419173
cerebrum	18	ASO 6	#2E0854	0.5090429093003884	0.47286635881799066	0.5452194597827862
cerebrum	18	PBS	#2E0854	0.9999999999999999	0.9055011642942867	1.094498835705713
cerebrum	29	ASO 6	#2E0854	0.4847711699550621	0.4180019419953609	0.5515403979147633
cerebrum	29	PBS	#2E0854	1	0.9270146712221874	1.0729853287778126
cerebrum	57	ASO 6	#2E0854	0.48244261675303307	0.40242831290478254	0.5624569206012836
cerebrum	57	PBS	#2E0854	1	0.94205606302115	1.05794393697885
