tissue	log_min_signal_binned	x	color	n_peptides	mean	l95	u95
brain	1.311063918	1	#CCCF00	533	0.41737043922287725	0.40395545491730533	0.4307854235284492
brain	2.311063918	2	#CCCF00	445	0.462889544176212	0.45313169966427863	0.4726473886881453
brain	2.715657343	3	#CCCF00	296	0.4436755507298745	0.43235138732656436	0.4549997141331847
brain	3.088159665	4	#CCCF00	256	0.442814936173253	0.433209733178178	0.452420139168328
brain	3.467153712	5	#CCCF00	112	0.45458785472346813	0.4436705483944972	0.46550516105243905
colon	1.311063918	7	#EEBB77	60	0.7447709545914701	0.6914452239581528	0.7980966852247875
colon	2.311063918	8	#EEBB77	177	0.7280957383718591	0.7073745674507776	0.7488169092929406
colon	2.715657343	9	#EEBB77	315	0.7440937494290908	0.7340261181926389	0.7541613806655427
colon	3.088159665	10	#EEBB77	346	0.7221958655386743	0.7126338402223897	0.7317578908549589
colon	3.467153712	11	#EEBB77	431	0.7307695965568587	0.7242658283108644	0.737273364802853
