day,proportion_heavy,tissue,replicate
0.0,0.0,brain,1
0.0,0.0,brain,2
0.0,0.0,brain,3
0.0,0.0,brain,4
1.0,0.01997478491764175,brain,1
1.0,0.02974946742962107,brain,2
1.0,0.011729007777239293,brain,3
1.0,0.04111236224799393,brain,4
2.0,0.009789565137406697,brain,1
2.0,0.0448649826487305,brain,2
2.0,0.04848569771749065,brain,3
2.0,0.021253571580444997,brain,4
3.0,0.07174335168750787,brain,1
3.0,0.06016869912391805,brain,2
3.0,0.08700791806045258,brain,3
3.0,0.07087741243987852,brain,4
4.0,0.11979981909506726,brain,1
4.0,0.09529803361095163,brain,2
4.0,0.1257845301245138,brain,3
4.0,0.10491235927661298,brain,4
6.0,0.21248761434060767,brain,1
6.0,0.1810196026481214,brain,2
6.0,0.18175075110495464,brain,3
6.0,0.21502774288398177,brain,4
8.0,0.3012191913452997,brain,1
8.0,0.3045106171331322,brain,2
8.0,0.3001807791578179,brain,3
8.0,0.3070218270767194,brain,4
0.0,0.0,liver,1
0.0,0.00896164167232687,liver,2
0.0,0.002421643192068793,liver,3
0.0,0.0,liver,4
1.0,0.0031108709339773694,liver,1
1.0,0.038950407728549144,liver,2
1.0,0.027741759077453382,liver,3
1.0,0.027842748546224746,liver,4
2.0,0.09473271423418275,liver,1
2.0,0.07511577868052531,liver,2
2.0,0.07795638002353869,liver,3
2.0,0.040198044011887396,liver,4
3.0,0.15149328547047616,liver,1
3.0,0.1523315933781279,liver,2
3.0,0.1416724533520656,liver,3
3.0,0.09632573636139274,liver,4
4.0,0.1880592960796294,liver,1
4.0,0.21466987268061283,liver,2
4.0,0.14483070952026478,liver,3
4.0,0.14882991720583522,liver,4
6.0,0.29222666829837357,liver,1
6.0,0.2995461458947149,liver,2
6.0,0.30646882894855315,liver,3
6.0,0.28099974511895176,liver,4
8.0,0.3686604033631433,liver,1
8.0,0.38210765327471763,liver,2
8.0,0.41141911282133703,liver,3
8.0,0.32581203039825646,liver,4
0.0,0.0033382361853910893,spleen,1
0.0,0.0,spleen,2
0.0,0.01515918045380812,spleen,3
0.0,0.0,spleen,4
1.0,0.002390803537198727,spleen,1
1.0,0.024649362157933973,spleen,2
1.0,0.0018541135297812355,spleen,3
1.0,0.0468184323011566,spleen,4
2.0,0.04442149669406843,spleen,1
2.0,0.04481947887373695,spleen,2
2.0,0.07523157382655957,spleen,3
2.0,0.043405693807627786,spleen,4
3.0,0.07976271432588208,spleen,1
3.0,0.1402445384502396,spleen,2
3.0,0.10654654297233555,spleen,3
3.0,0.13288049919593986,spleen,4
4.0,0.16787126728618998,spleen,1
4.0,0.14698448073052148,spleen,2
4.0,0.17751029480748498,spleen,3
4.0,0.1325816342296201,spleen,4
6.0,0.27903014378457297,spleen,1
6.0,0.26405107313920156,spleen,2
6.0,0.28569793964853796,spleen,3
6.0,0.2982291502612303,spleen,4
8.0,0.3394136408655107,spleen,1
8.0,0.3637980094273015,spleen,2
8.0,0.3670409812441086,spleen,3
8.0,0.37328867027905516,spleen,4
