pos100	p30	p10	mn
4570000	0	0	0
4570100	0	0	0
4570200	0	0	0
4570300	0	0	0
4570400	0	0	0
4570500	0	0	0
4570600	0	0	0
4570700	0	0	0
4570800	0	0	0
4570900	0	0	0
4571000	0	0	0
4571100	0	0	0
4571200	0	0	0
4571300	0	0	0
4571400	0	0	0
4571500	0	0	0
4571600	0	0	0
4571700	0	0	0
4571800	0	0	0
4571900	0	0	0
4572000	0	0	0
4572100	0	0	0
4572200	0	0	0
4572300	0	0	0
4572400	0	0	0
4572500	0	0	0
4572600	0	0	0
4572700	0	0	0
4572800	0	0	0
4572900	0	0	0
4573000	0	0	0
4573100	0	0	0
4573200	0	0	0
4573300	0	0	0
4573400	0	0	0
4573500	0	0	0
4573600	0	0	0
4573700	0	0	0
4573800	0	0	0
4573900	0	0	0
4574000	0	0	0
4574100	0	0	0
4574200	0	0	0
4574300	0	0	0
4574400	0	0	0
4574500	0	0	0
4574600	0	0	0
4574700	0	0	0
4574800	0	0	0
4574900	0	0	0
4575000	0	0	0
4575100	0	0	0
4575200	0	0	0
4575300	0	0	0
4575400	0	0	0
4575500	0	0	0
4575600	0	0	0
4575700	0	0	0
4575800	0	0	0
4575900	0	0	0
4576000	0	0	0
4576100	0	0	0
4576200	0	0	0
4576300	0	0	0
4576400	0	0	0
4576500	0	0	0
4576600	0	0	0
4576700	0	0	0
4576800	0	0	0
4576900	0	0	0
4577000	0	0	0
4577100	0	0	0
4577200	0	0	0
4577300	0	0	0
4577400	0	0	0
4577500	0	0	0
4577600	0	0	0
4577700	0	0	0
4577800	0	0	0
4577900	0	0	0
4578000	0	0	0
4578100	0	0	0
4578200	0	0	0
4578300	0	0	0
4578400	0	0	0
4578500	0	0	0
4578600	0	0	0
4578700	0	0	0
4578800	0	0	0
4578900	0	0	0
4579000	0	0	0
4579100	0	0	0
4579200	0	0	0
4579300	0	0	0
4579400	0	0	0
4579500	0	0	0
4579600	0	0	0
4579700	0	0	0
4579800	0	0	0
4579900	0	0	0
4580000	0	0	0
4580100	0	0	0
4580200	0	0	0
4580300	0	0	0
4580400	0	0	0
4580500	0	0	0
4580600	0	0	0
4580700	0	0	0
4580800	0	0	0
4580900	0	0	0
4581000	0	0	0
4581100	0	0	0
4581200	0	0	0
4581300	0	0	0
4581400	0	0	0
4581500	0	0	0
4581600	0	0	0
4581700	0	0	0
4581800	0	0	0
4581900	0	0	0
4582000	0	0	0
4582100	0	0	0
4582200	0	0	0
4582300	0	0	0
4582400	0	0	0
4582500	0	0	0
4582600	0	0	0
4582700	0	0	0
4582800	0	0	0
4582900	0	0	0
4583000	0	0	0
4583100	0	0	0
4583200	0	0	0
4583300	0	0	0
4583400	0	0	0
4583500	0	0	0
4583600	0	0	0
4583700	0	0	0
4583800	0	0	0
4583900	0	0	0
4584000	0	0	0
4584100	0	0	0
4584200	0	0	0
4584300	0	0	0
4584400	0	0	0
4584500	0	0	0
4584600	0	0	0
4584700	0	0	0
4584800	0	0	0
4584900	0	0	0
4585000	0	0	0
4585100	0	0	0
4585200	0	0	0
4585300	0	0	0
4585400	0	0	0
4585500	0	0	0
4585600	0	0	0
4585700	0	0	0
4585800	0	0	0
4585900	0	0	0
4586000	0	0	0
4586100	0	0	0
4586200	0	0	0
4586300	0	0	0
4586400	0	0	0
4586500	0	0	0
4586600	0	0	0
4586700	0	0	0
4586800	0	0	0
4586900	0	0	0
4587000	0	0	0
4587100	0	0	0
4587200	0	0	0
4587300	0	0	0
4587400	0	0	0
4587500	0	0	0
4587600	0	0	0
4587700	0	0	0
4587800	0	0	0
4587900	0	0	0
4588000	0	0	0
4588100	0	0	0
4588200	0	0	0
4588300	0	0	0
4588400	0	0	0
4588500	0	0	0
4588600	0	0	0
4588700	0	0	0
4588800	0	0	0
4588900	0	0	0
4589000	0	0	0
4589100	0	0	0
4589200	0	0	0
4589300	0	0	0
4589400	0	0	0
4589500	0	0	0
4589600	0	0	0
4589700	0	0	0
4589800	0	0	0
4589900	0	0	0
4590000	0	0	0
4590100	0	0	0
4590200	0	0	0
4590300	0	0	0.02
4590400	0	0	0.33
4590500	0	0	0
4590600	0	0	0.83
4590700	0	0	0.63
4590800	0	0	0
4590900	0	0	0
4591000	0	0	0
4591100	0	0	0
4591200	0	0	0
4591300	0	0	0
4591400	0	0	0
4591500	0	0	0
4591600	0	0	0
4591700	0	0	0
4591800	0	0	0
4591900	0	0	0
4592000	0	0	0
4592100	0	0	0
4592200	0	0	0
4592300	0	0	0
4592400	0	0	0
4592500	0	0	0
4592600	0	0	0
4592700	0	0	0
4592800	0	0	0
4592900	0	0	0
4593000	0	0	0
4593100	0	0	0
4593200	0	0	0
4593300	0	0	0
4593400	0	0	0
4593500	0	0	0
4593600	0	0	0
4593700	0	0	0
4593800	0	0	0
4593900	0	0	0
4594000	0	0	0
4594100	0	0	0
4594200	0	0	0
4594300	0	0	0
4594400	0	0	0
4594500	0	0	0
4594600	0	0	0
4594700	0	0	0
4594800	0	0	0
4594900	0	0	0
4595000	0	0	0
4595100	0	0	0
4595200	0	0	0
4595300	0	0	0
4595400	0	0	0
4595500	0	0	0
4595600	0	0	0
4595700	0	0	0
4595800	0	0	0
4595900	0	0	0
4596000	0	0	0
4596100	0	0	0
4596200	0	0	0
4596300	0	0	0
4596400	0	0	0
4596500	0	0	0
4596600	0	0	0
4596700	0	0	0
4596800	0	0	0
4596900	0	0	0
4597000	0	0	0
4597100	0	0	0
4597200	0	0	0
4597300	0	0	0
4597400	0	0	0
4597500	0	0	0.54
4597600	0	0	0.91
4597700	0	0	0
4597800	0	0	0
4597900	0	0	0
4598000	0	0	0
4598100	0	0	0
4598200	0	0	0
4598300	0	0	0
4598400	0	0	0
4598500	0	0	0
4598600	0	0	0
4598700	0	0	0
4598800	0	0	0
4598900	0	0	0
4599000	0	0	0
4599100	0	0	0
4599200	0	0	0.3
4599300	0	0	1
4599400	0	0	0.06
4599500	0	0	0
4599600	0	0	0
4599700	0	0	0
4599800	0	0	0
4599900	0	0	0
4600000	0	0	0
4600100	0	0	0
4600200	0	0	0
4600300	0	0	0
4600400	0	0	0
4600500	0	0	0
4600600	0	0	0
4600700	0	0	0
4600800	0	0	0
4600900	0	0	0
4601000	0	0	0
4601100	0	0	0
4601200	0	0	0
4601300	0	0	0
4601400	0	0	0
4601500	0	0	0
4601600	0	0	0
4601700	0	0	0
4601800	0	0	0
4601900	0	0	0
4602000	0	0	0
4602100	0	0	0
4602200	0	0	0
4602300	0	0	0
4602400	0	0	0
4602500	0	0	0
4602600	0	0	0
4602700	0	0	0
4602800	0	0	0
4602900	0	0	0
4603000	0	0	0
4603100	0	0	0
4603200	0	0	0
4603300	0	0	0
4603400	0	0	0
4603500	0	0	0
4603600	0	0	0
4603700	0	0	0
4603800	0	0	0
4603900	0	0	0
4604000	0	0	0
4604100	0	0	0
4604200	0	0	0
4604300	0	0	0
4604400	0	0	0
4604500	0	0	0
4604600	0	0	0
4604700	0	0	0
4604800	0	0	0
4604900	0	0	0
4605000	0	0	0
4605100	0	0	0
4605200	0	0	0
4605300	0	0	0
4605400	0	0	0
4605500	0	0	0
4605600	0	0	0
4605700	0	0	0
4605800	0	0	0
4605900	0	0	0
4606000	0	0	0
